what,kind,bundleId,bundleVersion,description,time
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1416190608115
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1416190608115
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1416190608115
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1416190608115
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1416190608115
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1416190608125
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1416190608125
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1416190608125
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1416190608135
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1416190608145
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1416190608165
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1416190608185
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1416190608185
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1416190608185
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1416190608185
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1416190608185
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1416190608185
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1416190608265
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1416190608265
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1416190608265
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1416190608285
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1416190608285
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1416190608285
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1416190608285
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1416190608285
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1416190608285
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1416190608305
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1416190608305
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1416190608315
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1416190608315
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1416190608315
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1416190608315
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1416190608315
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1416190608315
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1416190608315
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1416190608315
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1416190608315
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1416190608315
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1416190608315
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1416190608325
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1416190608325
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1416190608345
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1416190608345
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1416190608345
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1416190608345
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1416190608355
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1416190608477
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1416190608477
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1416190608487
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1416190608497
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1416190608497
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1416190608497
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1416190608497
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1416190608507
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1416190608517
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1416190608517
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1416190608517
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1416190608517
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1416190608517
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1416190608517
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1416190608517
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1416190608517
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1416190608527
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1416190608537
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1416190608547
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1416190608547
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1416190608547
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1416190608557
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1416190608567
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1416190608577
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1416190608577
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1416190608587
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1416190608587
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1416190608597
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1416190608607
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1416190608607
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1416190608607
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1416190608607
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1416190608607
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1416190608617
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1416190608617
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1416190608637
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416190608637
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1416190608687
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416190608687
started,bundle,com.altera.sbtgui.integration,14.0.0.209,"com.altera.sbtgui.integration",1416190608687
started,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1416190608707
started,bundle,com.altera.sbtgui.ui,14.0.0.209,"com.altera.sbtgui.ui",1416190608707
started,bundle,com.altera.systemconsole,14.0.0.209,"com.altera.systemconsole",1416190608707
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.209,"com.altera.systemconsole.designs.plugin",1416190608707
started,bundle,com.altera.utilities,14.0.0.209,"com.altera.utilities",1416190608717
os,sysinfo,,,"win32",1416190608717
arch,sysinfo,,,"x86_64",1416190608717
ws,sysinfo,,,"win32",1416190608717
locale,sysinfo,,,"zh_CN",1416190608717
processors,sysinfo,,,"2",1416190608717
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416190608717
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1416190608717
java.specification.name,sysinfo,,,"Java Platform API Specification",1416190608717
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416190608717
java.specification.version,sysinfo,,,"1.6",1416190608717
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1416190608717
java.version,sysinfo,,,"1.6.0_23",1416190608717
java.vm.info,sysinfo,,,"mixed mode",1416190608717
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1416190608717
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416190608717
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416190608717
java.vm.specification.version,sysinfo,,,"1.0",1416190608717
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1416190608717
java.vm.version,sysinfo,,,"19.0-b09",1416190608717
started,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1416190609547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190623769
started,bundle,com.altera.sbtgui.core,14.0.0.209,"com.altera.sbtgui.core",1416190626289
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416190627089
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1416190630082
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1416190630373
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1416190630373
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1416190630403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190635461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1416190665246
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1416190682692
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1416190683032
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1416190684273
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1416190691185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190703388
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1416190721641
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1416190721651
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1416190722831
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1416190722861
started,bundle,com.altera.sbt4e.launch,14.0.0.209,"com.altera.sbt4e.launch",1416190722861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190724683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190731626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190731998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190732698
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1416190736918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190737210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190773247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190774513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190780791
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1416190801014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190803338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190809468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190810178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190812218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190812948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190852150
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1416190853134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1416190857500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190858400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190867020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190869240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190870123
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1416190870157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190870704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190879493
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1416190898930
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1416190904240
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1416190904460
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1416190905224
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1416190906998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416190916200
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1416190918930
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1416190918990
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416190919180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191018578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1416191018600
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1416191020410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191020692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191024083
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1416191024195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191031392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191037113
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1416191038675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191038967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191042795
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1416191043235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191050255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191051225
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1416191051357
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416191051607
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1416191052299
